Title,Artist,Taiwanese,TL,Meaning
寫一條歌寫你我爾爾,蕭煌奇,放予鬆,pàng-hōo-sang,放輕鬆
寫一條歌寫你我爾爾,蕭煌奇,啉,lim,喝
寫一條歌寫你我爾爾,蕭煌奇,一寡,tsi̍t-kuá,一些
寫一條歌寫你我爾爾,蕭煌奇,酒,tsiú,酒
寫一條歌寫你我爾爾,蕭煌奇,茫,bâng,醉
寫一條歌寫你我爾爾,蕭煌奇,咱,lán,我們
寫一條歌寫你我爾爾,蕭煌奇,相仝,sio-kāng,相同
寫一條歌寫你我爾爾,蕭煌奇,多情,to-tsîng,多情
寫一條歌寫你我爾爾,蕭煌奇,疼心,thiànn-sim,心疼，珍愛
寫一條歌寫你我爾爾,蕭煌奇,少年人,siàu-liân-lâng,年輕人
寫一條歌寫你我爾爾,蕭煌奇,一工,tsi̍t-kang,有一天
寫一條歌寫你我爾爾,蕭煌奇,閣較,koh-khah,更加
寫一條歌寫你我爾爾,蕭煌奇,勇敢,ióng-kám,勇敢
寫一條歌寫你我爾爾,蕭煌奇,大欉,tuā-tsâng,長大茁壯
寫一條歌寫你我爾爾,蕭煌奇,拍拼,phah-piànn,打拼，努力
寫一條歌寫你我爾爾,蕭煌奇,認同,jīn-tông,認同
寫一條歌寫你我爾爾,蕭煌奇,美夢,bí-bāng,美夢
寫一條歌寫你我爾爾,蕭煌奇,其實,kî-si̍t,其實
寫一條歌寫你我爾爾,蕭煌奇,勉強袂來,bián-kióng bē lâi,勉強不來
寫一條歌寫你我爾爾,蕭煌奇,大海,tuā-hái,大海
寫一條歌寫你我爾爾,蕭煌奇,小船,sió-tsûn,小船
寫一條歌寫你我爾爾,蕭煌奇,按怎,án-tsuánn,如何，怎樣
寫一條歌寫你我爾爾,蕭煌奇,駛,sái,駕駛
寫一條歌寫你我爾爾,蕭煌奇,做伴,tsò-phuānn,作伴
寫一條歌寫你我爾爾,蕭煌奇,毋驚,m̄-kiann,不怕
寫一條歌寫你我爾爾,蕭煌奇,燒寒,sio-kuânn,冷熱，引申為困境
寫一條歌寫你我爾爾,蕭煌奇,這齣戲,tsit-tshut-hì,這齣戲
寫一條歌寫你我爾爾,蕭煌奇,袂曉,bē-hiáu,不會，不懂
寫一條歌寫你我爾爾,蕭煌奇,搬,pua̋n,演出
寫一條歌寫你我爾爾,蕭煌奇,鬥陣,tàu-tīn,一起，同夥
寫一條歌寫你我爾爾,蕭煌奇,無算啥,bô-sǹg-siánn,不算什麼
寫一條歌寫你我爾爾,蕭煌奇,留情份,lâu-tsîng-hūn,留情面
寫一條歌寫你我爾爾,蕭煌奇,毋通,m̄-thang,不要
寫一條歌寫你我爾爾,蕭煌奇,予乾,hōo ta,斷絕關係
寫一條歌寫你我爾爾,蕭煌奇,爾爾,niā-niā,而已
寫一條歌寫你我爾爾,蕭煌奇,屬於,sû-î,屬於
寫一條歌寫你我爾爾,蕭煌奇,上深,siōng tshim,最深
寫一條歌寫你我爾爾,蕭煌奇,痕跡,hûn-jiah/hûn-tsiah,痕跡
寫一條歌寫你我爾爾,蕭煌奇,紀念,kì-liām,紀念
寫一條歌寫你我爾爾,蕭煌奇,慢慢啊,bān-bān--ah,慢慢地
寫一條歌寫你我爾爾,蕭煌奇,行,kiânn,走
寫一條歌寫你我爾爾,蕭煌奇,背影,puē-íng,背影
寫一條歌寫你我爾爾,蕭煌奇,跤跡,kha-jiah/kha-tsiah,腳印
寫一條歌寫你我爾爾,蕭煌奇,順順啊,sūn-sūn--ah,順順地
寫一條歌寫你我爾爾,蕭煌奇,作伙,tsò-hué/tsò-tuè,一起
寫一條歌寫你我爾爾,蕭煌奇,世間,sè-kan,世間
寫一條歌寫你我爾爾,蕭煌奇,戲弄,hì-lāng,捉弄
寫一條歌寫你我爾爾,蕭煌奇,闊,khuah,寬
寫一條歌寫你我爾爾,蕭煌奇,知影,tsai-iánn,知道
寫一條歌寫你我爾爾,蕭煌奇,漂撇,phiau-phiat,瀟灑
寫一條歌寫你我爾爾,蕭煌奇,孤單,koo-tuann,孤單
寫一條歌寫你我爾爾,蕭煌奇,難免,lân-bián,難免
寫一條歌寫你我爾爾,蕭煌奇,鬱卒,ut-tsut,憂悶
寫一條歌寫你我爾爾,蕭煌奇,總是,tsóng--sī,總是
寫一條歌寫你我爾爾,蕭煌奇,憂愁,iu-tshiû,憂愁
寫一條歌寫你我爾爾,蕭煌奇,怨尤,uàn-iû,抱怨
寫一條歌寫你我爾爾,蕭煌奇,相挺,sio-thīng,互相支持
寫一條歌寫你我爾爾,蕭煌奇,毋免,m̄-bián,不用，不需要
寫一條歌寫你我爾爾,蕭煌奇,理由,lí-iû,理由
阿嬤的話,蕭煌奇,細漢,sè-hàn,年幼、年紀小
阿嬤的話,蕭煌奇,時陣,sî-tsūn,時候
阿嬤的話,蕭煌奇,阿嬤,a-má,祖母
阿嬤的話,蕭煌奇,尚好,siōng-hó,最好
阿嬤的話,蕭煌奇,攏,lóng,都、全部
阿嬤的話,蕭煌奇,留乎,lâu-hoo,留給
阿嬤的話,蕭煌奇,嘛,mā,也
阿嬤的話,蕭煌奇,定定,tiānn-tiānn,常常
阿嬤的話,蕭煌奇,幼稚園,iù-tsì-hn̂g,幼稚園
阿嬤的話,蕭煌奇,看人,khuànn-lâng,看人、人們
阿嬤的話,蕭煌奇,七桃,tshit-thô,玩耍
阿嬤的話,蕭煌奇,辦公伙兒,pān-kong-hué-ér,辦公室
阿嬤的話,蕭煌奇,覓相找,bī-sio-tsāu/bi̍h-sio-tsāu,尋找
阿嬤的話,蕭煌奇,跟,kā,和、對
阿嬤的話,蕭煌奇,阮,guán,我們
阿嬤的話,蕭煌奇,說,sueh,說
阿嬤的話,蕭煌奇,著愛,tio̍h-ài,必須、應該
阿嬤的話,蕭煌奇,讀冊,tha̍k-tsheh,讀書
阿嬤的話,蕭煌奇,嘸通,m̄-thang,不要
阿嬤的話,蕭煌奇,大漢,tuā-hàn,長大
阿嬤的話,蕭煌奇,恁,lín,你們的
阿嬤的話,蕭煌奇,老爸仔,lāu-pē-á,爸爸
阿嬤的話,蕭煌奇,狼狽,liông-puē,狼狽
阿嬤的話,蕭煌奇,彼個,hit-ê,那個
阿嬤的話,蕭煌奇,聽攏嘸,thiann-lóng-bô,聽不懂
阿嬤的話,蕭煌奇,到底,tàu-té,究竟、到底
阿嬤的話,蕭煌奇,咧,leh,正在
阿嬤的話,蕭煌奇,才知影,tsiah tsai-iánn,才知道
阿嬤的話,蕭煌奇,永遠,íng-uán,永遠
阿嬤的話,蕭煌奇,放塊,pàng-teh,放在
阿嬤的話,蕭煌奇,心肝底,sim-kuann-té/sim-kuānn-té,心底
阿嬤的話,蕭煌奇,一步一步,tsi̍t-pōo-tsi̍t-pōo,一步一步
阿嬤的話,蕭煌奇,過去,kuè-khì/kè-khì,過去
阿嬤的話,蕭煌奇,乎人,hoo-lâng,讓人
阿嬤的話,蕭煌奇,難忘,lân-bōng,難忘
阿嬤的話,蕭煌奇,一分一秒,tsi̍t-hun-tsi̍t-bió,一分一秒
阿嬤的話,蕭煌奇,塊,teh,正在
阿嬤的話,蕭煌奇,心內,sim-lāi,心裡
阿嬤的話,蕭煌奇,今嘛,tann-má/tsim-má,現在
阿嬤的話,蕭煌奇,叨位,tó-uī/to-uī,哪裡
阿嬤的話,蕭煌奇,叫,kiò,叫
阿嬤的話,蕭煌奇,甘,kam,是否
阿嬤的話,蕭煌奇,聽到,thiann-tio̍h,聽到
阿嬤的話,蕭煌奇,認真,jīn-tsin/līn-tsin,認真
阿嬤的話,蕭煌奇,成功,sîng-kong,成功
阿嬤的話,蕭煌奇,看到,khuànn-tio̍h,看到
阿嬤的話,蕭煌奇,知影,tsai-iánn,知道
阿嬤的話,蕭煌奇,沒,bô,沒有
阿嬤的話,蕭煌奇,過的好,kuè--eh hó/kè--eh hó,過得好
阿嬤的話,蕭煌奇,過的好麼,kuè--eh hó--bo/kè--eh hó--bo,過得好嗎
阿嬤的話,蕭煌奇,照顧,tsiàu-kòo,照顧
阿嬤的話,蕭煌奇,希望,hi-bāng,希望
阿嬤的話,蕭煌奇,後世人,āu-sì-lâng,下輩子
阿嬤的話,蕭煌奇,擱,koh,再
阿嬤的話,蕭煌奇,會凍,ē-tàng,可以
阿嬤的話,蕭煌奇,疼,thiànn,疼愛
阿嬤的話,蕭煌奇,作,tsò,當、作為
阿嬤的話,蕭煌奇,孫仔,sun-á,孫子
必巡,曾瑋中,拍勢,phah-sè,不好意思
必巡,曾瑋中,講話無算話,kóng-uē bô sǹg-uē,說話不算話
必巡,曾瑋中,佇,tī,在
必巡,曾瑋中,輪迴,lûn-huê,輪迴
必巡,曾瑋中,賰,tshun,剩下
必巡,曾瑋中,啥貨,siánn-huè,什麼東西
必巡,曾瑋中,鳥仔,tsiáu-á,小鳥
必巡,曾瑋中,咧啼,teh thî,正在啼叫
必巡,曾瑋中,造勢,tsō-sè,營造聲勢
必巡,曾瑋中,浪槓,lōng-kòng,胡鬧、放肆
必巡,曾瑋中,傷濟,siunn tsuē,太多的
必巡,曾瑋中,予,hōo/hō,給、讓
必巡,曾瑋中,鎮地,tìn-tē,平靜、安穩
必巡,曾瑋中,做伙,tsò-hué/tsuè-hué,一起、一同
必巡,曾瑋中,怨恨,uàn-hūn,怨恨
必巡,曾瑋中,今生今世,kim-sing kim-sè,今生今世
必巡,曾瑋中,袂當,bē-tàng/buē-tàng,不能、無法
必巡,曾瑋中,相陪,siong-puê,互相陪伴
必巡,曾瑋中,覕,bih,躲藏
必巡,曾瑋中,相揣,sio-tshuē,互相尋找
必巡,曾瑋中,替無,thuè bô,取代不了
必巡,曾瑋中,毋甘願,m̄ kam-guān,不甘願
必巡,曾瑋中,孤單,koo-tuann,孤單
必巡,曾瑋中,留戀,liû-luân,留戀
必巡,曾瑋中,孤鳥,koo-tsiáu,孤鳥
必巡,曾瑋中,展翅,tián-tshì,展翅
必巡,曾瑋中,滿四界,muá-sì-kè,到處、四處
必巡,曾瑋中,揣,tshē/tshuē,尋找
必巡,曾瑋中,佇佗,tī tó,在哪裡
必巡,曾瑋中,敢講,kám-kóng,難道說
必巡,曾瑋中,註定,tsù-tiānn,註定
必巡,曾瑋中,無緣,bô-iân,無緣
必巡,曾瑋中,靈魂,lîng-hûn,靈魂
必巡,曾瑋中,捶,thuî,捶打
必巡,曾瑋中,必巡,pit-sûn,粉碎
必巡,曾瑋中,後悔,hāu-hué,後悔
必巡,曾瑋中,四季輪替,sì-kuì lûn-thè,四季輪替
