Title,Artist,Taiwanese,TL,Meaning,Option1,Option2
寫一條歌寫你我爾爾,蕭煌奇,放予鬆,pàng-hōo-sang,放輕鬆,放開東西,放縱
寫一條歌寫你我爾爾,蕭煌奇,啉,lim,喝,唱歌,跳舞
寫一條歌寫你我爾爾,蕭煌奇,一寡,tsi̍t-kuá,一些,全部,一個
寫一條歌寫你我爾爾,蕭煌奇,酒,tsiú,酒,水,茶
寫一條歌寫你我爾爾,蕭煌奇,茫,bâng,醉,迷惘,模糊
寫一條歌寫你我爾爾,蕭煌奇,咱,lán,我們,他們,你
寫一條歌寫你我爾爾,蕭煌奇,相仝,sio-kāng,相同,像天空,相互碰觸
寫一條歌寫你我爾爾,蕭煌奇,多情,to-tsîng,多情,很多錢,很難過
寫一條歌寫你我爾爾,蕭煌奇,疼心,thiànn-sim,心疼，珍愛,疼痛的身體,心臟病發作
寫一條歌寫你我爾爾,蕭煌奇,少年人,siàu-liân-lâng,年輕人,老人家,小朋友
寫一條歌寫你我爾爾,蕭煌奇,一工,tsi̍t-kang,有一天,一個公司,一場火災
寫一條歌寫你我爾爾,蕭煌奇,閣較,koh-khah,更加,更多美味的食物,房間裡增加傢俱
寫一條歌寫你我爾爾,蕭煌奇,勇敢,ióng-kám,勇敢,退縮,膽怯
寫一條歌寫你我爾爾,蕭煌奇,大欉,tuā-tsâng,長大茁壯,小棵樹,矮小的人
寫一條歌寫你我爾爾,蕭煌奇,拍拼,phah-piànn,打拼，努力,拍打與拼湊,拍照與拼貼
寫一條歌寫你我爾爾,蕭煌奇,認同,jīn-tông,認同,拒絕,否定
寫一條歌寫你我爾爾,蕭煌奇,美夢,bí-bāng,美夢,美好的希望,甜蜜的睡眠
寫一條歌寫你我爾爾,蕭煌奇,其實,kî-si̍t,其實,真的嗎,實際上
寫一條歌寫你我爾爾,蕭煌奇,勉強袂來,bián-kióng bē lâi,勉強不來,勉勵自己,勉強可以
寫一條歌寫你我爾爾,蕭煌奇,大海,tuā-hái,大海,天空,沙灘
寫一條歌寫你我爾爾,蕭煌奇,小船,sió-tsûn,小船,大型帆船,飛機
寫一條歌寫你我爾爾,蕭煌奇,按怎,án-tsuánn,如何，怎樣,模仿,停止
寫一條歌寫你我爾爾,蕭煌奇,駛,sái,駕駛,行走,休息
寫一條歌寫你我爾爾,蕭煌奇,做伴,tsò-phuānn,作伴,變成朋友,一起玩耍
寫一條歌寫你我爾爾,蕭煌奇,毋驚,m̄-kiann,不怕,不要害怕,不喜歡
寫一條歌寫你我爾爾,蕭煌奇,燒寒,sio-kuânn,冷熱，引申為困境,炙熱的夏天,感冒發燒
寫一條歌寫你我爾爾,蕭煌奇,這齣戲,tsit-tshut-hì,這齣戲,一部電影,一場舞蹈表演
寫一條歌寫你我爾爾,蕭煌奇,袂曉,bē-hiáu,不會，不懂,想要,喜歡
寫一條歌寫你我爾爾,蕭煌奇,搬,pua̋n,演出,移動傢俱,改變方向
寫一條歌寫你我爾爾,蕭煌奇,鬥陣,tàu-tīn,一起，同夥,打架,跳舞
寫一條歌寫你我爾爾,蕭煌奇,無算啥,bô-sǹg-siánn,不算什麼,沒有關係,沒有意義
寫一條歌寫你我爾爾,蕭煌奇,留情份,lâu-tsîng-hūn,留情面,留下情歌的份量,保持情感的份量
寫一條歌寫你我爾爾,蕭煌奇,毋通,m̄-thang,不要,可以,允許
寫一條歌寫你我爾爾,蕭煌奇,予乾,hōo ta,斷絕關係,給予食物,開始工作
寫一條歌寫你我爾爾,蕭煌奇,爾爾,niā-niā,而已,偶爾,仍然
寫一條歌寫你我爾爾,蕭煌奇,屬於,sû-î,屬於,不屬於,歸類
寫一條歌寫你我爾爾,蕭煌奇,上深,siōng tshim,最深,往上游,非常淺
寫一條歌寫你我爾爾,蕭煌奇,痕跡,hûn-jiah/hûn-tsiah,痕跡,閃爍的星光,消失的幻影
寫一條歌寫你我爾爾,蕭煌奇,紀念,kì-liām,紀念,忘記,遺忘
寫一條歌寫你我爾爾,蕭煌奇,慢慢啊,bān-bān--ah,慢慢地,快一點,匆忙地
寫一條歌寫你我爾爾,蕭煌奇,行,kiânn,走,跑步,停止
寫一條歌寫你我爾爾,蕭煌奇,背影,puē-íng,背影,後面的影子,孤單的感覺
寫一條歌寫你我爾爾,蕭煌奇,跤跡,kha-jiah/kha-tsiah,腳印,小腿的紋路,行走時的聲響
寫一條歌寫你我爾爾,蕭煌奇,順順啊,sūn-sūn--ah,順順地,慢慢地走,小心地吃
寫一條歌寫你我爾爾,蕭煌奇,作伙,tsò-hué/tsò-tuè,一起,跳舞,唱歌
寫一條歌寫你我爾爾,蕭煌奇,世間,sè-kan,世間,世界上的錢財,唱歌的技巧
寫一條歌寫你我爾爾,蕭煌奇,戲弄,hì-lāng,捉弄,唱歌,跳舞
寫一條歌寫你我爾爾,蕭煌奇,闊,khuah,寬,窄,淺
寫一條歌寫你我爾爾,蕭煌奇,知影,tsai-iánn,知道,跳舞,唱歌
寫一條歌寫你我爾爾,蕭煌奇,漂撇,phiau-phiat,瀟灑,滑倒,黏膩
寫一條歌寫你我爾爾,蕭煌奇,孤單,koo-tuann,孤單,快樂,喧鬧
寫一條歌寫你我爾爾,蕭煌奇,難免,lân-bián,難免,輕鬆愉快,意外事故
寫一條歌寫你我爾爾,蕭煌奇,鬱卒,ut-tsut,憂悶,,
寫一條歌寫你我爾爾,蕭煌奇,總是,tsóng--sī,總是,偶爾,有時候
寫一條歌寫你我爾爾,蕭煌奇,憂愁,iu-tshiû,憂愁,快樂的時光,充滿希望
寫一條歌寫你我爾爾,蕭煌奇,怨尤,uàn-iû,抱怨,喜悅的心情,讚美的聲音
寫一條歌寫你我爾爾,蕭煌奇,相挺,sio-thīng,互相支持,互相欺騙,彼此嘲笑
寫一條歌寫你我爾爾,蕭煌奇,毋免,m̄-bián,不用，不需要,免除責任,免費使用
寫一條歌寫你我爾爾,蕭煌奇,理由,lí-iû,理由,歌詞的旋律,音樂的節奏
阿嬤的話,蕭煌奇,細漢,sè-hàn,年幼、年紀小,身材矮小,微不足道
阿嬤的話,蕭煌奇,時陣,sî-tsūn,時候,美好的滋味,唱歌的聲音
阿嬤的話,蕭煌奇,阿嬤,a-má,祖母,年輕女性朋友,頑皮的小孩
阿嬤的話,蕭煌奇,尚好,siōng-hó,最好,非常生氣,狀況不好
阿嬤的話,蕭煌奇,攏,lóng,都、全部,放鬆,靠近
阿嬤的話,蕭煌奇,留乎,lâu-hoo,留給,留下全部,保留一些
阿嬤的話,蕭煌奇,嘛,mā,也,表示驚訝,表示不耐煩
阿嬤的話,蕭煌奇,定定,tiānn-tiānn,常常,安定下來,決定
阿嬤的話,蕭煌奇,幼稚園,iù-tsì-hn̂g,幼稚園,小朋友玩樂的公園,放置書籍的櫃子
阿嬤的話,蕭煌奇,看人,khuànn-lâng,看人、人們,觀察別人,注視他人
阿嬤的話,蕭煌奇,七桃,tshit-thô,玩耍,水果的名稱,一種交通工具
阿嬤的話,蕭煌奇,辦公伙兒,pān-kong-hué-ér,辦公室,聚餐；吃午飯的地方,辦公室內的雜物
阿嬤的話,蕭煌奇,覓相找,bī-sio-tsāu/bi̍h-sio-tsāu,尋找,尋找愛情,準備晚餐
阿嬤的話,蕭煌奇,跟,kā,和、對,尾隨,依靠
阿嬤的話,蕭煌奇,阮,guán,我們,我的,妳們
阿嬤的話,蕭煌奇,說,sueh,說,唱歌,聆聽
阿嬤的話,蕭煌奇,著愛,tio̍h-ài,必須、應該,討厭,不要
阿嬤的話,蕭煌奇,讀冊,tha̍k-tsheh,讀書,看電影,唱歌
阿嬤的話,蕭煌奇,嘸通,m̄-thang,不要,表示高興,表示同意
阿嬤的話,蕭煌奇,大漢,tuā-hàn,長大,很大聲,煮飯
阿嬤的話,蕭煌奇,恁,lín,你們的,他的,我們
阿嬤的話,蕭煌奇,老爸仔,lāu-pē-á,爸爸,一種古老的茶具,指稱一種特別的糕點
阿嬤的話,蕭煌奇,狼狽,liông-puē,狼狽,輕鬆愜意,優雅從容
阿嬤的話,蕭煌奇,彼個,hit-ê,那個,另一個,其他的
阿嬤的話,蕭煌奇,聽攏嘸,thiann-lóng-bô,聽不懂,聽見聲音很小聲,聽得清楚，但沒有反應
阿嬤的話,蕭煌奇,到底,tàu-té,究竟、到底,最終目標,事情的經過
阿嬤的話,蕭煌奇,咧,leh,正在,在水裡,表示驚訝
阿嬤的話,蕭煌奇,才知影,tsiah tsai-iánn,才知道,才知道唱歌,才有影子
阿嬤的話,蕭煌奇,永遠,íng-uán,永遠,短暫的,偶爾
阿嬤的話,蕭煌奇,放塊,pàng-teh,放在,放下石頭,放鬆身體
阿嬤的話,蕭煌奇,心肝底,sim-kuann-té/sim-kuānn-té,心底,內心深處的憤怒,甜蜜的夢境
阿嬤的話,蕭煌奇,一步一步,tsi̍t-pōo-tsi̍t-pōo,一步一步,緩慢跳舞,搖晃行走
阿嬤的話,蕭煌奇,過去,kuè-khì/kè-khì,過去,未來,現在
阿嬤的話,蕭煌奇,乎人,hoo-lâng,讓人,呼喚某人,讓給他人
阿嬤的話,蕭煌奇,難忘,lân-bōng,難忘,輕易忘記,容易忘懷
阿嬤的話,蕭煌奇,一分一秒,tsi̍t-hun-tsi̍t-bió,一分一秒,不斷地哭泣,時間暫停的時刻
阿嬤的話,蕭煌奇,塊,teh,正在,一種類型的魚,量詞，計算物品數量
阿嬤的話,蕭煌奇,心內,sim-lāi,心裡,頭腦,表面
阿嬤的話,蕭煌奇,今嘛,tann-má/tsim-má,現在,今天,很久以前
阿嬤的話,蕭煌奇,叨位,tó-uī/to-uī,哪裡,躲起來的地方,閃耀的星星
阿嬤的話,蕭煌奇,叫,kiò,叫,呼喊,召喚
阿嬤的話,蕭煌奇,甘,kam,是否,甜美的,感激的
阿嬤的話,蕭煌奇,聽到,thiann-tio̍h,聽到,看到,說到
阿嬤的話,蕭煌奇,認真,jīn-tsin/līn-tsin,認真,輕鬆,玩笑
阿嬤的話,蕭煌奇,成功,sîng-kong,成功,失敗,困難
阿嬤的話,蕭煌奇,看到,khuànn-tio̍h,看到,聽到,感覺到
阿嬤的話,蕭煌奇,知影,tsai-iánn,知道,瞭解飛機,看見星星
阿嬤的話,蕭煌奇,沒,bô,沒有,擁有,存在
阿嬤的話,蕭煌奇,過的好,kuè--eh hó/kè--eh hó,過得好,快速地跑,歌曲的旋律不錯
阿嬤的話,蕭煌奇,過的好麼,kuè--eh hó--bo/kè--eh hó--bo,過得好嗎,今天吃飽了沒?,心情愉快嗎?
阿嬤的話,蕭煌奇,照顧,tsiàu-kòo,照顧,關心,維持
阿嬤的話,蕭煌奇,希望,hi-bāng,希望,失望的情緒,無法實現的夢想
阿嬤的話,蕭煌奇,後世人,āu-sì-lâng,下輩子,前世的仇人,隔壁的鄰居
阿嬤的話,蕭煌奇,擱,koh,再,放下,清洗
阿嬤的話,蕭煌奇,會凍,ē-tàng,可以,感到寒冷,烹飪的菜餚
阿嬤的話,蕭煌奇,疼,thiànn,疼愛,輕鬆,快樂
阿嬤的話,蕭煌奇,作,tsò,當、作為,建造,休息
阿嬤的話,蕭煌奇,孫仔,sun-á,孫子,叔叔,祖父
必巡,曾瑋中,拍勢,phah-sè,不好意思,跳舞,拍手
必巡,曾瑋中,講話無算話,kóng-uē bô sǹg-uē,說話不算話,唱歌跑調,沒有帶錢
必巡,曾瑋中,佇,tī,在,停止,跳躍
必巡,曾瑋中,輪迴,lûn-huê,輪迴,一種甜點，通常用糯米製成,形容事情快速變動，難以捉摸
必巡,曾瑋中,賰,tshun,剩下,吃飽,唱歌
必巡,曾瑋中,啥貨,siánn-huè,什麼東西,形容物品粗糙,表示驚訝
必巡,曾瑋中,鳥仔,tsiáu-á,小鳥,飛機,雞蛋
必巡,曾瑋中,咧啼,teh thî,正在啼叫,咧嘴笑,正在走路
必巡,曾瑋中,造勢,tsō-sè,營造聲勢,製作宣傳品,檢視歌曲創作
必巡,曾瑋中,浪槓,lōng-kòng,胡鬧、放肆,唱歌走音,跳舞跌倒
必巡,曾瑋中,傷濟,siunn tsuē,太多的,非常便宜,過於開心
必巡,曾瑋中,予,hōo/hō,給、讓,拿取,允許
必巡,曾瑋中,鎮地,tìn-tē,平靜、安穩,土地,震動
必巡,曾瑋中,做伙,tsò-hué/tsuè-hué,一起、一同,煮飯,休息
必巡,曾瑋中,怨恨,uàn-hūn,怨恨,愉悅,滿足
必巡,曾瑋中,今生今世,kim-sing kim-sè,今生今世,來生再見,此刻與過去
必巡,曾瑋中,袂當,bē-tàng/buē-tàng,不能、無法,可以,應該
必巡,曾瑋中,相陪,siong-puê,互相陪伴,互相鼓勵,共同分享
必巡,曾瑋中,覕,bih,躲藏,閃耀,注視
必巡,曾瑋中,相揣,sio-tshuē,互相尋找,彼此模仿,互相責備
必巡,曾瑋中,替無,thuè bô,取代不了,不需要,沒有辦法
必巡,曾瑋中,毋甘願,m̄ kam-guān,不甘願,感到非常開心,迫不及待地想要
必巡,曾瑋中,孤單,koo-tuann,孤單,喧鬧,熱鬧
必巡,曾瑋中,留戀,liû-luân,留戀,忘記,害怕
必巡,曾瑋中,孤鳥,koo-tsiáu,孤鳥,在海邊獨自玩耍的鳥類,沒有同伴的貓頭鷹
必巡,曾瑋中,展翅,tián-tshì,展翅,收納翅膀,高興地跳躍
必巡,曾瑋中,滿四界,muá-sì-kè,到處、四處,到處尋找,充滿邊界
必巡,曾瑋中,揣,tshē/tshuē,尋找,跑,休息
必巡,曾瑋中,佇佗,tī tó,在哪裡,唱歌的人,跳舞的動作
必巡,曾瑋中,敢講,kám-kóng,難道說,不敢相信,覺得疑惑
必巡,曾瑋中,註定,tsù-tiānn,註定,特別的,偶然的
必巡,曾瑋中,無緣,bô-iân,無緣,沒有機會,沒有關聯
必巡,曾瑋中,靈魂,lîng-hûn,靈魂,身體的重量,虛構的生物
必巡,曾瑋中,捶,thuî,捶打,跳舞,唱歌
必巡,曾瑋中,必巡,pit-sûn,粉碎,必須巡邏,一定要去
必巡,曾瑋中,後悔,hāu-hué,後悔,興奮,忘記
必巡,曾瑋中,四季輪替,sì-kuì lûn-thè,四季輪替,一年當中的氣候變化,時鐘的運轉
